state,county,region,metro_status,rural_urban_code,perc_complete_vac,tot_pop,votes_Trump,votes_Biden,perc_Biden,ed_somecol_perc,ed_bachormore_perc,unemployment_rate_2020,median_HHincome_2019
Alabama,Lee County,South,Metro,3,34.9,164542,42221,27860,38.992848,31.84482956,35.31296539,5.2,54160
North Carolina,Pender County,South,Metro,2,46,63060,21956,11723,34.3088765,32.23480225,27.91506195,6.6,60405
Illinois,Marshall County,Midwest,Metro,2,52,11438,4197,2005,31.5996848,34.60256958,18.8957634,7.4,63628
Montana,Yellowstone County,West,Metro,3,46.8,161300,50772,30679,36.6006132,31.83441353,32.05437469,5.4,61435
Missouri,Jefferson County,Midwest,Metro,1,39.7,225081,77046,37523,32.1566913,37.10151291,20.41392136,6.1,68779
Oklahoma,Okmulgee County,South,Metro,2,39,38465,9668,4357,30.440858,36.22276688,14.08986759,7.2,41725
Iowa,Monroe County,Midwest,Non-metro,7,42.5,7707,2975,1078,26.369863,31.27909088,17.35244751,5.2,56397
Texas,Cass County,South,Non-metro,6,32.1,30026,11033,2795,20.0689309,26.29030037,16.35249901,7.9,44529
Tennessee,Giles County,South,Non-metro,6,35.1,29464,9784,3298,24.9791714,26.14672279,16.51473427,8.4,50847
Indiana,Marion County,Midwest,Metro,1,50.5,964582,134175,247772,63.5934079,27.19435692,30.87825394,7.9,50707
Minnesota,Kittson County,Midwest,Non-metro,9,54.2,4298,1546,1006,38.1205002,32.46669006,25.86935234,4.6,62762
Ohio,Erie County,Midwest,Non-metro,4,54.3,74266,22160,17493,43.3692823,31.37083054,23.15106583,10.5,60790
Illinois,Peoria County,Midwest,Metro,2,55.2,179179,38252,43578,51.895252,32.71684265,30.58909607,10.4,57717
